accfile,sup,type,assembly,date,url,output_type,biol_reps,acc,best_samps,dateMax,tissue,GENEID,SYMBOL
ENCFF321HPH,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF321HPH/@@download/ENCFF321HPH.bed.gz,peaks,1_2,ENCSR655NZA,1_2,2018-12-03,HepG2,ENSG00000088930,XRN2
ENCFF695OLO,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF695OLO/@@download/ENCFF695OLO.bed.gz,peaks,1_2,ENCSR657TZB,1_2,2018-12-03,K562,ENSG00000088930,XRN2
ENCFF185OEI,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF185OEI/@@download/ENCFF185OEI.bed.gz,peaks,1_2,ENCSR735HOK,1_2,2018-12-03,HepG2,ENSG00000060138,YBX3
ENCFF746XLE,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF746XLE/@@download/ENCFF746XLE.bed.gz,peaks,1_2,ENCSR529FKI,1_2,2018-12-03,K562,ENSG00000060138,YBX3
ENCFF932UXC,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF932UXC/@@download/ENCFF932UXC.bed.gz,peaks,1_2,ENCSR867ZVK,1_2,2018-12-03,K562,ENSG00000170027,YWHAG
ENCFF592WIH,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF592WIH/@@download/ENCFF592WIH.bed.gz,peaks,1_2,ENCSR907GUB,1_2,2018-12-03,HepG2,ENSG00000058673,ZC3H11A
ENCFF258HOX,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF258HOX/@@download/ENCFF258HOX.bed.gz,peaks,1_2,ENCSR712IAG,1_2,2018-12-03,K562,ENSG00000058673,ZC3H11A
ENCFF382URH,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF382URH/@@download/ENCFF382URH.bed.gz,peaks,1_2,ENCSR181NRW,1_2,2018-12-03,K562,ENSG00000144161,ZC3H8
ENCFF285IGP,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF285IGP/@@download/ENCFF285IGP.bed.gz,peaks,1_2,ENCSR657TZZ,1_2,2018-12-03,K562,ENSG00000173545,ZNF622
ENCFF343TCO,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF343TCO/@@download/ENCFF343TCO.bed.gz,peaks,1_2,ENCSR685AUR,1_2,2018-12-03,HepG2,ENSG00000048405,ZNF800
ENCFF105HMJ,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF105HMJ/@@download/ENCFF105HMJ.bed.gz,peaks,1_2,ENCSR586DGV,1_2,2018-12-03,K562,ENSG00000048405,ZNF800
ENCFF058OOW,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF058OOW/@@download/ENCFF058OOW.bed.gz,peaks,1_2,ENCSR663NRA,1_2,2018-12-03,K562,ENSG00000132485,ZRANB2
