mark,links
H3K4me3,https://www.encodeproject.org/files/ENCFF187LLD/@@download/ENCFF187LLD.bed.gz
H3K4me3,https://www.encodeproject.org/files/ENCFF304CMG/@@download/ENCFF304CMG.bed.gz
H3K4me3,https://www.encodeproject.org/files/ENCFF711MPL/@@download/ENCFF711MPL.bed.gz
H3K4me3,https://www.encodeproject.org/files/ENCFF268RXB/@@download/ENCFF268RXB.bed.gz
H3K4me3,https://www.encodeproject.org/files/ENCFF965NTW/@@download/ENCFF965NTW.bed.gz
H3K4me3,https://www.encodeproject.org/files/ENCFF904UJC/@@download/ENCFF904UJC.bed.gz
H3K4me3,https://www.encodeproject.org/files/ENCFF704LTU/@@download/ENCFF704LTU.bed.gz
H3K4me3,https://www.encodeproject.org/files/ENCFF242DXJ/@@download/ENCFF242DXJ.bed.gz
H3K9me2,https://www.encodeproject.org/files/ENCFF367ELM/@@download/ENCFF367ELM.bed.gz
H3K9me2,https://www.encodeproject.org/files/ENCFF577ZNV/@@download/ENCFF577ZNV.bed.gz
H3K9me2,https://www.encodeproject.org/files/ENCFF632KWA/@@download/ENCFF632KWA.bed.gz
H3K9me2,https://www.encodeproject.org/files/ENCFF300WHS/@@download/ENCFF300WHS.bed.gz
H3K9me2,https://www.encodeproject.org/files/ENCFF447MUW/@@download/ENCFF447MUW.bed.gz
H3K9me2,https://www.encodeproject.org/files/ENCFF069OCN/@@download/ENCFF069OCN.bed.gz
H3K9me2,https://www.encodeproject.org/files/ENCFF050ALA/@@download/ENCFF050ALA.bed.gz
H3K9me2,https://www.encodeproject.org/files/ENCFF538BHD/@@download/ENCFF538BHD.bed.gz
H3K27me3,https://www.encodeproject.org/files/ENCFF684ZZH/@@download/ENCFF684ZZH.bed.gz
H3K27me3,https://www.encodeproject.org/files/ENCFF584RYA/@@download/ENCFF584RYA.bed.gz
H3K27me3,https://www.encodeproject.org/files/ENCFF468ZHH/@@download/ENCFF468ZHH.bed.gz
H3K27me3,https://www.encodeproject.org/files/ENCFF801AHF/@@download/ENCFF801AHF.bed.gz
H3K27me3,https://www.encodeproject.org/files/ENCFF294LZM/@@download/ENCFF294LZM.bed.gz
H3K27me3,https://www.encodeproject.org/files/ENCFF959VSM/@@download/ENCFF959VSM.bed.gz
H3K27me3,https://www.encodeproject.org/files/ENCFF394AZZ/@@download/ENCFF394AZZ.bed.gz
H3K27me3,https://www.encodeproject.org/files/ENCFF428MSN/@@download/ENCFF428MSN.bed.gz
H3K27me3,https://www.encodeproject.org/files/ENCFF296RYM/@@download/ENCFF296RYM.bed.gz
H3K27me3,https://www.encodeproject.org/files/ENCFF403ODS/@@download/ENCFF403ODS.bed.gz
H3K27me3,https://www.encodeproject.org/files/ENCFF360IXV/@@download/ENCFF360IXV.bed.gz
H3K27me3,https://www.encodeproject.org/files/ENCFF841QVP/@@download/ENCFF841QVP.bed.gz
H3K36me3,https://www.encodeproject.org/files/ENCFF739SBL/@@download/ENCFF739SBL.bed.gz
H3K36me3,https://www.encodeproject.org/files/ENCFF423AWX/@@download/ENCFF423AWX.bed.gz
H3K36me3,https://www.encodeproject.org/files/ENCFF457NNG/@@download/ENCFF457NNG.bed.gz
H3K36me3,https://www.encodeproject.org/files/ENCFF475QVQ/@@download/ENCFF475QVQ.bed.gz
H3K36me3,https://www.encodeproject.org/files/ENCFF195FSD/@@download/ENCFF195FSD.bed.gz
H3K36me3,https://www.encodeproject.org/files/ENCFF233BNK/@@download/ENCFF233BNK.bed.gz
H3K36me3,https://www.encodeproject.org/files/ENCFF479TQU/@@download/ENCFF479TQU.bed.gz
H3K36me3,https://www.encodeproject.org/files/ENCFF924TKB/@@download/ENCFF924TKB.bed.gz
H3K36me3,https://www.encodeproject.org/files/ENCFF243SKO/@@download/ENCFF243SKO.bed.gz
H3K36me3,https://www.encodeproject.org/files/ENCFF584FSY/@@download/ENCFF584FSY.bed.gz
H3K36me3,https://www.encodeproject.org/files/ENCFF257ZFX/@@download/ENCFF257ZFX.bed.gz
H3K36me3,https://www.encodeproject.org/files/ENCFF813VFV/@@download/ENCFF813VFV.bed.gz
H3K36me3,https://www.encodeproject.org/files/ENCFF432EMI/@@download/ENCFF432EMI.bed.gz
H3K36me3,https://www.encodeproject.org/files/ENCFF127LEC/@@download/ENCFF127LEC.bed.gz
H3K36me3,https://www.encodeproject.org/files/ENCFF655QDU/@@download/ENCFF655QDU.bed.gz
H3K36me3,https://www.encodeproject.org/files/ENCFF054TNJ/@@download/ENCFF054TNJ.bed.gz
H3F3A,https://www.encodeproject.org/files/ENCFF516NJV/@@download/ENCFF516NJV.bed.gz
H3F3A,https://www.encodeproject.org/files/ENCFF864SBW/@@download/ENCFF864SBW.bed.gz
H3F3A,https://www.encodeproject.org/files/ENCFF276HPR/@@download/ENCFF276HPR.bed.gz
H3F3A,https://www.encodeproject.org/files/ENCFF052DKK/@@download/ENCFF052DKK.bed.gz
H3F3A,https://www.encodeproject.org/files/ENCFF376NEQ/@@download/ENCFF376NEQ.bed.gz
H3F3A,https://www.encodeproject.org/files/ENCFF421FUZ/@@download/ENCFF421FUZ.bed.gz
H3F3A,https://www.encodeproject.org/files/ENCFF595UXF/@@download/ENCFF595UXF.bed.gz
H3F3A,https://www.encodeproject.org/files/ENCFF926ZHI/@@download/ENCFF926ZHI.bed.gz
H3F3A,https://www.encodeproject.org/files/ENCFF103RHB/@@download/ENCFF103RHB.bed.gz
H3F3A,https://www.encodeproject.org/files/ENCFF549AYZ/@@download/ENCFF549AYZ.bed.gz
H3F3A,https://www.encodeproject.org/files/ENCFF509WEL/@@download/ENCFF509WEL.bed.gz
