experiment,control,mode,genome
SRX2187025,SRX2187017,DRIP,hg38
SRX2187026,SRX2187018,DRIP,hg38
SRX534093,NA,DRIP,hg38
SRX534094,SRX534093,DRIP,hg38
SRX534095,SRX534093,DRIP,hg38
SRX534096,SRX534093,DRIP,hg38
SRX534097,SRX534093,DRIP,hg38
SRX534098,SRX534093,DRIP,hg38
SRX534099,SRX534093,DRIP,hg38
SRX534100,SRX534093,DRIP,hg38
SRX550078,SRX534093,DRIP,hg38
SRX969060,SRX534093,DRIP,hg38
SRX969059,SRX534093,DRIP,hg38
SRX255720,NA,DRIP,hg38
SRX255721,SRX255720,DRIP,hg38
SRX255722,NA,DRIP,hg38
SRX255723,SRX255722,DRIP,hg38
SRX255724,SRX255722,DRIP,hg38
SRX2683572,NA,R-ChIP,hg38
SRX2683573,NA,R-ChIP,hg38
SRX2683574,SRX2683572,R-ChIP,hg38
SRX2683575,SRX2683573,R-ChIP,hg38
SRX2683576,NA,R-ChIP,hg38
SRX2683577,NA,R-ChIP,hg38
SRX2683578,SRX2683576,R-ChIP,hg38
SRX2683579,SRX2683577,R-ChIP,hg38
SRX2683584,NA,R-ChIP,hg38
SRX2683585,NA,R-ChIP,hg38
SRX2683586,SRX2683584,R-ChIP,hg38
SRX2683587,SRX2683585,R-ChIP,hg38
SRX2683588,NA,R-ChIP,hg38
SRX2683589,NA,R-ChIP,hg38
SRX2683590,SRX2683588,R-ChIP,hg38
SRX2683591,SRX2683589,R-ChIP,hg38
SRX2683594,SRX2683596,R-ChIP,hg38
SRX2683595,SRX2683596,R-ChIP,hg38
SRX2683596,NA,R-ChIP,hg38
SRX2683597,SRX2683596,R-ChIP,hg38
SRX2683598,SRX2683596,R-ChIP,hg38
SRX2683601,SRX2683603,R-ChIP,hg38
SRX2683602,SRX2683603,R-ChIP,hg38
SRX2683603,NA,R-ChIP,hg38
SRX2683604,SRX2683603,R-ChIP,hg38
SRX2683605,SRX2683603,R-ChIP,hg38
SRX2683608,SRX2683612,R-ChIP,hg38
SRX2683609,SRX2683612,R-ChIP,hg38
SRX2683610,SRX2683612,R-ChIP,hg38
SRX2683611,SRX2683612,R-ChIP,hg38
SRX2683612,NA,R-ChIP,hg38
SRX7299430,NA,R-ChIP,hg38
SRX7299431,SRX7299430,R-ChIP,hg38
SRX7299434,NA,R-ChIP,hg38
SRX7299435,SRX7299434,R-ChIP,hg38
SRX5547605,NA,RR-ChIP,hg38
SRX5547606,NA,RR-ChIP,hg38
SRX5547607,NA,RR-ChIP,hg38
SRX6779956,NA,RR-ChIP,hg38
SRX6779957,NA,RDIP,hg38
SRX6779958,NA,RR-ChIP,hg38
SRX6779959,NA,RDIP,hg38
SRX7671349,NA,RDIP,hg38
SRX4776615,SRX4776616,MapR,hg38
SRX4776616,NA,MapR,hg38
SRX4776617,SRX4776619,MapR,hg38
SRX4776618,SRX4776620,MapR,hg38
SRX4776619,NA,MapR,hg38
SRX4776620,NA,MapR,hg38
SRX4776621,SRX4776622,MapR,hg38
SRX4776622,NA,MapR,hg38
SRX4776623,SRX4776624,RNH-CnR,hg38
SRX4776624,NA,RNH-CnR,hg38
SRX4776625,SRX4776626,RNH-CnR,hg38
SRX4776626,NA,RNH-CnR,hg38
SRX4776627,NA,RNH-CnR,hg38
SRX4776628,SRX4776629,MapR,hg38
SRX4776629,NA,MapR,hg38
SRX4776630,SRX4776631,MapR,hg38
SRX4776631,NA,MapR,hg38
SRX4776632,SRX4776633,MapR,hg38
SRX4776633,NA,MapR,hg38
SRX4776634,SRX4776635,MapR,hg38
SRX4776635,NA,MapR,hg38
SRX4776636,SRX4776638,MapR,hg38
SRX4776637,SRX4776639,MapR,hg38
SRX4776638,NA,MapR,hg38
SRX4776639,NA,MapR,hg38
SRX4776640,SRX4776641,MapR,hg38
SRX4776641,NA,MapR,hg38
SRX4776642,SRX4776643,MapR,hg38
SRX4776643,NA,MapR,hg38
SRX4776644,SRX4776645,MapR,hg38
SRX4776645,NA,MapR,hg38
SRX4776646,SRX4776647,MapR,hg38
SRX4776647,NA,MapR,hg38
SRX4776648,SRX4776649,MapR,hg38
SRX4776649,NA,MapR,hg38
SRX4776650,SRX4776651,MapR,hg38
SRX4776651,NA,MapR,hg38
SRX6428486,NA,ssDRIP,hg38
SRX6428487,NA,ssDRIP,hg38
SRX6428488,NA,ssDRIP,hg38
SRX6428491,NA,ssDRIP,hg38
SRX6428492,NA,ssDRIP,hg38
SRX6428493,NA,ssDRIP,hg38
SRX6428494,NA,ssDRIP,hg38
SRX6428495,NA,ssDRIP,hg38
SRX6428496,NA,ssDRIP,hg38
SRX6428497,NA,ssDRIP,hg38
SRX6428498,NA,ssDRIP,hg38
SRX6428500,NA,ssDRIP,hg38
SRX6428501,NA,ssDRIP,hg38
SRX6428499,NA,ssDRIP,hg38
SRX5849996,NA,DRIPc,hg38
SRX1761639,SRX1761646,S1-DRIP,sacCer3
SRX1761640,SRX1761646,S1-DRIP,sacCer3
SRX1761641,NA,S1-DRIP,sacCer3
SRX1761642,NA,S1-DRIP,sacCer3
SRX1761643,SRX1761646,S1-DRIP,sacCer3
SRX1761644,SRX1761646,S1-DRIP,sacCer3
SRX1761645,SRX1761646,S1-DRIP,sacCer3
SRX1761646,NA,S1-DRIP,sacCer3
SRX1761648,SRX1761642,S1-DRIP,sacCer3
SRX1761649,SRX1761642,S1-DRIP,sacCer3
SRX1761650,SRX1761642,S1-DRIP,sacCer3
SRX1761651,SRX1761642,S1-DRIP,sacCer3
SRX1995061,NA,DRIP,ce11
SRX1995063,SRX1995061,DRIP,ce11
SRX1995065,SRX1995061,DRIP,ce11
SRX7805793,SRX7805786,ssDRIP,hg38
SRX7805794,SRX7805786,ssDRIP,hg38
SRX7805795,SRX7805786,ssDRIP,hg38
SRX7805796,SRX7805786,ssDRIP,hg38
SRX7805797,SRX7805787,ssDRIP,hg38
SRX7805798,SRX7805787,ssDRIP,hg38
SRX7805799,SRX7805787,ssDRIP,hg38
SRX7805800,SRX7805787,ssDRIP,hg38
SRX7805801,SRX7805788,ssDRIP,hg38
SRX7805802,SRX7805788,ssDRIP,hg38
SRX7805803,SRX7805789,ssDRIP,hg38
SRX7805804,SRX7805789,ssDRIP,hg38
SRX7805805,SRX7805789,ssDRIP,hg38
SRX7805806,SRX7805789,ssDRIP,hg38
SRX7805791,SRX7805785,ssDRIP,hg38
SRX7805792,SRX7805785,ssDRIP,hg38
SRX7805807,SRX7805790,ssDRIP,hg38
SRX7805808,SRX7805790,ssDRIP,hg38
SRX5443752,SRX5443756,ssDRIP,dm6
SRX5443753,SRX5443755,ssDRIP,dm6
SRX5443754,SRX5443756,ssDRIP,dm6
SRX5443755,NA,ssDRIP,dm6
SRX5443756,NA,ssDRIP,dm6
SRX5443757,SRX5443761,ssDRIP,dm6
SRX5443758,SRX5443762,ssDRIP,dm6
SRX5443759,SRX5443761,ssDRIP,dm6
SRX5443760,SRX5443762,ssDRIP,dm6
SRX5443761,NA,ssDRIP,dm6
SRX5443762,NA,ssDRIP,dm6
SRX5443763,SRX5443767,ssDRIP,dm6
SRX5443764,SRX5443768,ssDRIP,dm6
SRX5443765,SRX5443767,ssDRIP,dm6
